Customer_ID,Country,State,City,Zip_Code,Latitude,Longitude,Gender,Senior_Citizen,Partner,Dependents,Tenure_Months,Tenure_Group,Phone_Service,Multiple_Lines,Internet_Service,Online_Security,Online_Backup,Device_Protection,Tech_Support,Streaming_TV,Streaming_Movies,Service_Count,Service_Category,Contract,Paperless_Billing,Payment_Method,Monthly_Charges,Monthly_Charges_Group,Total_Charges,CLTV,CLTV_Group,Churn_Score,Churn_Risk,Churn_Label,Churn_Reason
3668-QPYBK,United States,California,Los Angeles,90003,33.964131,-118.272783,Male,No,No,No,2,New Customer,Yes,No,DSL,Yes,Yes,No,No,No,No,4,Standard,Month-to-month,Yes,Mailed check,53.85,Medium,108.15,3239,Medium CLTV,86,High Risk,Yes,Competitor made better offer
9237-HQITU,United States,California,Los Angeles,90005,34.059281,-118.30742,Female,No,No,Yes,2,New Customer,Yes,No,Fiber optic,No,No,No,No,No,No,2,Basic,Month-to-month,Yes,Electronic check,70.7,High,151.65,2701,Low CLTV,67,High Risk,Yes,Moved
9305-CDSKC,United States,California,Los Angeles,90006,34.048013,-118.293953,Female,No,No,Yes,8,Early Customer,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,6,Premium,Month-to-month,Yes,Electronic check,99.65,High,820.5,5372,High CLTV,86,High Risk,Yes,Moved
7892-POOKP,United States,California,Los Angeles,90010,34.062125,-118.315709,Female,No,Yes,Yes,28,Loyal Customer,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,7,Premium,Month-to-month,Yes,Electronic check,104.8,High,3046.05,5003,High CLTV,84,High Risk,Yes,Moved
0280-XJGEX,United States,California,Los Angeles,90015,34.039224,-118.266293,Male,No,No,Yes,49,Long-Term Customer,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,7,Premium,Month-to-month,Yes,Bank transfer (automatic),103.7,High,5036.3,5340,High CLTV,89,High Risk,Yes,Competitor had better devices
4190-MFLUW,United States,California,Los Angeles,90020,34.066367,-118.309868,Female,No,Yes,No,10,Early Customer,Yes,No,DSL,No,No,Yes,Yes,No,No,4,Standard,Month-to-month,No,Credit card (automatic),55.2,Medium,528.35,5925,High CLTV,78,High Risk,Yes,Competitor offered higher download speeds
8779-QRDMV,United States,California,Los Angeles,90022,34.02381,-118.156582,Male,Yes,No,No,1,New Customer,No,No phone service,DSL,No,No,Yes,No,No,Yes,3,Standard,Month-to-month,Yes,Electronic check,39.65,Medium,39.65,5433,High CLTV,100,High Risk,Yes,Competitor offered more data
1066-JKSGK,United States,California,Los Angeles,90024,34.066303,-118.435479,Male,No,No,No,1,New Customer,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Basic,Month-to-month,No,Mailed check,20.15,Low,20.15,4832,High CLTV,92,High Risk,Yes,Competitor made better offer
6467-CHFZW,United States,California,Los Angeles,90028,34.099869,-118.326843,Male,No,Yes,Yes,47,Long-Term Customer,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,6,Premium,Month-to-month,Yes,Electronic check,99.35,High,4749.15,5789,High CLTV,77,High Risk,Yes,Competitor had better devices
8665-UTDHZ,United States,California,Los Angeles,90029,34.089953,-118.294824,Male,No,Yes,No,1,New Customer,No,No phone service,DSL,No,Yes,No,No,No,No,2,Basic,Month-to-month,No,Electronic check,30.2,Low,30.2,2915,Low CLTV,97,High Risk,Yes,Competitor had better devices
8773-HHUOZ,United States,California,Los Angeles,90032,34.078821,-118.177576,Female,No,No,No,17,Established Customer,Yes,No,DSL,No,No,No,No,Yes,Yes,4,Standard,Month-to-month,Yes,Mailed check,64.7,Medium,1093.1,3022,Medium CLTV,74,High Risk,Yes,Competitor offered higher download speeds
6047-YHPVI,United States,California,Los Angeles,90039,34.110845,-118.259595,Male,No,No,Yes,5,New Customer,Yes,No,Fiber optic,No,No,No,No,No,No,2,Basic,Month-to-month,Yes,Electronic check,69.7,Medium,316.9,2454,Low CLTV,66,Medium Risk,Yes,Competitor offered higher download speeds
5380-WJKOV,United States,California,Los Angeles,90041,34.137412,-118.207607,Male,No,No,Yes,34,Loyal Customer,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,7,Premium,Month-to-month,Yes,Electronic check,106.35,High,3549.25,2941,Low CLTV,65,Medium Risk,Yes,Competitor offered higher download speeds
8168-UQWWF,United States,California,Los Angeles,90042,34.11572,-118.192754,Female,No,No,Yes,11,Early Customer,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,6,Premium,Month-to-month,Yes,Bank transfer (automatic),97.85,High,1105.4,5674,High CLTV,70,High Risk,Yes,Competitor offered more data
7760-OYPDY,United States,California,Los Angeles,90056,33.987945,-118.370442,Female,No,No,Yes,2,New Customer,Yes,No,Fiber optic,No,No,No,No,Yes,No,3,Standard,Month-to-month,Yes,Electronic check,80.65,High,144.15,5586,High CLTV,90,High Risk,Yes,Competitor offered more data
9420-LOJKX,United States,California,Los Angeles,90061,33.92128,-118.274186,Female,No,No,Yes,15,Established Customer,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,6,Premium,Month-to-month,Yes,Credit card (automatic),99.1,High,1426.4,2966,Low CLTV,82,High Risk,Yes,Competitor offered more data
7495-OOKFY,United States,California,Los Angeles,90063,34.044271,-118.185237,Female,Yes,Yes,Yes,8,Early Customer,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,4,Standard,Month-to-month,Yes,Credit card (automatic),80.65,High,633.3,5302,High CLTV,69,High Risk,Yes,Competitor made better offer
1658-BYGOY,United States,California,Los Angeles,90065,34.108833,-118.229715,Male,Yes,No,Yes,18,Established Customer,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,5,Standard,Month-to-month,Yes,Electronic check,95.45,High,1752.55,3179,Medium CLTV,81,High Risk,Yes,Competitor made better offer
5698-BQJOH,United States,California,Beverly Hills,90211,34.063947,-118.383001,Female,No,No,Yes,9,Early Customer,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,5,Standard,Month-to-month,No,Electronic check,94.4,High,857.25,5571,High CLTV,96,High Risk,Yes,Price too high
5919-TMRGD,United States,California,Huntington Park,90255,33.97803,-118.217141,Female,No,No,Yes,1,New Customer,Yes,No,Fiber optic,No,No,No,No,Yes,No,3,Standard,Month-to-month,Yes,Electronic check,79.35,High,79.35,2483,Low CLTV,87,High Risk,Yes,Product dissatisfaction
9191-MYQKX,United States,California,Lynwood,90262,33.923573,-118.200669,Female,No,Yes,Yes,7,Early Customer,Yes,No,Fiber optic,No,No,Yes,No,No,No,3,Standard,Month-to-month,Yes,Bank transfer (automatic),75.15,High,496.9,3457,Medium CLTV,70,High Risk,Yes,Service dissatisfaction
8637-XJIVR,United States,California,Marina Del Rey,90292,33.977468,-118.445475,Female,No,No,Yes,12,Early Customer,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,4,Standard,Month-to-month,Yes,Electronic check,78.95,High,927.35,5806,High CLTV,86,High Risk,Yes,Lack of self-service on Website
0278-YXOOG,United States,California,Inglewood,90301,33.956445,-118.358634,Male,No,No,No,5,New Customer,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Basic,Month-to-month,No,Mailed check,21.05,Low,113.85,2604,Low CLTV,66,Medium Risk,Yes,Network reliability
4598-XLKNJ,United States,California,Inglewood,90303,33.936291,-118.332639,Female,Yes,Yes,Yes,25,Loyal Customer,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,6,Premium,Month-to-month,Yes,Electronic check,98.5,High,2514.5,5337,High CLTV,88,High Risk,Yes,Limited range of services
3192-NQECA,United States,California,Santa Monica,90403,34.031529,-118.491156,Male,No,Yes,No,68,Veteran Customer,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,8,Premium,Two year,Yes,Bank transfer (automatic),110,High,7611.85,5034,High CLTV,86,High Risk,Yes,Lack of affordable download/upload speed
0486-HECZI,United States,California,Torrance,90504,33.867257,-118.330794,Male,No,Yes,Yes,55,Long-Term Customer,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,6,Premium,Month-to-month,Yes,Electronic check,96.75,High,5238.9,5154,High CLTV,75,High Risk,Yes,Long distance charges
4846-WHAFZ,United States,California,Whittier,90602,33.972119,-118.020188,Female,Yes,Yes,Yes,37,Long-Term Customer,Yes,Yes,Fiber optic,No,No,No,No,No,No,3,Standard,Month-to-month,Yes,Electronic check,76.5,High,2868.15,2793,Low CLTV,67,High Risk,Yes,Extra data charges
5299-RULOA,United States,California,Whittier,90606,33.976678,-118.065875,Female,No,Yes,Yes,10,Early Customer,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,6,Premium,Month-to-month,Yes,Electronic check,100.25,High,1064.65,5998,High CLTV,87,High Risk,Yes,Price too high
0404-SWRVG,United States,California,La Habra,90631,33.940619,-117.9513,Male,No,No,Yes,3,New Customer,Yes,Yes,Fiber optic,No,No,No,No,No,No,3,Standard,Month-to-month,Yes,Electronic check,74.4,High,229.55,4415,Medium CLTV,76,High Risk,Yes,Product dissatisfaction
4412-YLTKF,United States,California,Pico Rivera,90660,33.989524,-118.089299,Female,Yes,No,Yes,27,Loyal Customer,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,4,Standard,Month-to-month,Yes,Electronic check,78.05,High,2135.5,4638,High CLTV,95,High Risk,Yes,Service dissatisfaction
6207-WIOLX,United States,California,Avalon,90704,33.391181,-118.421305,Female,No,Yes,No,25,Loyal Customer,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,6,Premium,Month-to-month,Yes,Credit card (automatic),58.6,Medium,1502.65,4190,Medium CLTV,99,High Risk,Yes,Lack of self-service on Website
3091-FYHKI,United States,California,Harbor City,90710,33.798266,-118.300237,Male,No,No,No,1,New Customer,No,No phone service,DSL,No,No,No,No,No,Yes,2,Basic,Month-to-month,Yes,Electronic check,35.45,Medium,35.45,2301,Low CLTV,80,High Risk,Yes,Network reliability
2372-HWUHI,United States,California,Lakewood,90712,33.840524,-118.148403,Male,No,No,No,2,New Customer,Yes,No,DSL,No,No,No,No,No,No,2,Basic,Month-to-month,No,Electronic check,44.35,Medium,81.25,2570,Low CLTV,76,High Risk,Yes,Don't know
0390-DCFDQ,United States,California,Los Alamitos,90720,33.79499,-118.065591,Female,Yes,Yes,Yes,1,New Customer,Yes,No,Fiber optic,No,No,No,No,No,No,2,Basic,Month-to-month,Yes,Mailed check,70.45,High,70.45,3964,Medium CLTV,76,High Risk,Yes,Don't know
4080-OGPJL,United States,California,San Pedro,90731,33.736387,-118.284363,Female,No,No,No,8,Early Customer,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,6,Premium,Month-to-month,No,Electronic check,71.15,High,563.65,2662,Low CLTV,66,Medium Risk,Yes,Don't know
